Date,Company Name,Company Ticker,ceoRating,ceoRatingSize,upMgmtRating,upMgmtRatingSize,overallRating,overallRatingSize,Price,PriceMA10,PriceMA14
2022/4/17,AES Corporation,AES,0.942752,165,3.94669,232,4.1951,281,24.055405,24.438659427075322,24.3761336558613
2022/3/20,AES Corporation,AES,0.938582,165,3.99867,232,4.19661,281,23.345865,22.204571821451612,22.00496095521996
2022/2/20,AES Corporation,AES,0.950327,165,4.02576,232,4.20992,281,20.951164,21.437478973547915,21.558202428226807
2022/1/23,AES Corporation,AES,0.96306,165,4.04521,232,4.25617,281,22.455288,22.69033301770016,22.779617235521634
2021/12/19,AES Corporation,AES,0.961156,165,4.07597,232,4.30505,281,23.570713,23.617160354833096,23.65498417391029
2021/11/21,AES Corporation,AES,0.960935,165,4.12397,232,4.33134,281,24.050150,24.161534192080033,24.16364537578661
2021/10/24,AES Corporation,AES,0.956593,165,4.13293,232,4.33825,281,24.246038,23.725118968764157,23.588227382598316
2021/9/19,AES Corporation,AES,0.972489,165,4.13191,232,4.37282,281,23.925091,23.526547301638587,23.517891466443658
2021/8/22,AES Corporation,AES,0.969251,165,4.14588,232,4.40311,281,23.652771,23.544169099638125,23.57775803397696
2021/7/18,AES Corporation,AES,0.990782,165,4.20672,232,4.41439,281,23.544271,24.378781159018665,24.527407234593177
2021/6/20,AES Corporation,AES,0.989424,165,4.14513,232,4.36917,281,24.298151,24.72862704630076,24.707922819418783
2021/5/23,AES Corporation,AES,0.988436,165,4.09265,232,4.361,281,24.510788,24.519464602906105,24.729302203495198
2021/4/18,AES Corporation,AES,0.987053,165,4.0623,232,4.31658,281,27.521898,26.863218232927693,26.66413602106499
2021/3/21,AES Corporation,AES,0.984457,165,4.05851,232,4.27922,281,25.291693,26.013967278627675,26.057877324334413
2021/2/21,AES Corporation,AES,0.980192,165,4.09935,232,4.31567,281,27.214285,26.769303193967936,26.455128140775336
2021/1/24,AES Corporation,AES,0.978793,165,4.18798,232,4.3475,281,25.879789,25.566767425763032,25.089172021837868
2020/12/27,AES Corporation,AES,0.975648,165,4.17196,232,4.33529,281,22.222239,21.46439175693692,21.20878332046198
2020/11/29,AES Corporation,AES,0.974744,165,4.21566,232,4.40323,281,20.092646,19.956294594696338,19.885455202539156
2020/10/25,AES Corporation,AES,0.971965,165,4.1493,232,4.37899,281,19.575592,18.921262131046507,18.704682614177706
2020/9/27,AES Corporation,AES,0.967325,165,4.12887,232,4.39705,281,17.053989,17.100487012953394,17.059362707314516
2022/7/31,Aflac,AFL,0.912074,431,3.52883,699,3.83371,1066,56.931568,55.52826353211458,55.367793304148094
2022/7/24,Aflac,AFL,0.912034,431,3.52899,699,3.83357,1066,54.924557,54.60944933608674,54.68682970193744
2022/6/19,Aflac,AFL,0.898057,431,3.54483,699,3.90337,1066,52.708897,54.81180387388967,55.42732633705462
2022/5/22,Aflac,AFL,0.910549,431,3.57868,699,3.8777,1066,54.735779,56.03849457610505,56.583276989538355
2022/4/17,Aflac,AFL,0.895683,431,3.61531,699,3.85782,1066,64.447868,64.04398242976399,63.839884744514485
2022/3/20,Aflac,AFL,0.925656,431,3.60161,699,3.86382,1066,62.100002,60.74900252385411,60.629091851630925
2022/2/20,Aflac,AFL,0.91699,431,3.57223,699,3.81618,1066,62.317028,63.081218405261076,62.94576204655598
2022/1/23,Aflac,AFL,0.911167,431,3.47802,699,3.75871,1066,59.664272,60.86136535492336,60.488818729035046
2021/12/19,Aflac,AFL,0.932351,431,3.51448,699,3.77161,1066,55.723251,55.81565506660683,55.62723500385509
2021/11/21,Aflac,AFL,0.924761,431,3.43321,699,3.7425,1066,54.350754,55.082311225870576,54.97991568200752
2021/10/24,Aflac,AFL,0.923578,431,3.38631,699,3.75911,1066,55.111416,54.07976861207787,53.76146053117332
2021/9/19,Aflac,AFL,0.928768,431,3.25769,699,3.64609,1066,52.625847,53.48942608723749,53.70697816995617
2021/8/22,Aflac,AFL,0.94974,431,3.27785,699,3.68486,1066,54.935963,54.86018578979646,54.622924342839696
2021/7/18,Aflac,AFL,0.94787,431,3.3931,699,3.72772,1066,51.480770,51.731213271864746,51.83602484357749
2021/6/20,Aflac,AFL,0.945711,431,3.42052,699,3.7256,1066,50.472866,53.24422075670252,53.57302970971653
2021/5/23,Aflac,AFL,0.961363,431,3.52568,699,3.81066,1066,54.262203,53.84159370186554,53.597475535596615
2021/4/18,Aflac,AFL,0.954349,431,3.59582,699,3.81151,1066,51.497612,50.436865098364535,50.187396702048915
2021/3/21,Aflac,AFL,0.950037,431,3.56094,699,3.83883,1066,49.291256,49.163883286447316,48.797571476489594
2021/2/21,Aflac,AFL,0.940432,431,3.54759,699,3.8497,1066,46.323761,45.04006468076108,44.811994264021365
2021/1/24,Aflac,AFL,0.934559,431,3.50452,699,3.76276,1066,44.419399,44.120148785729,43.842108015905865
2020/12/27,Aflac,AFL,0.94867,431,3.43685,699,3.78718,1066,41.941563,42.129043036772444,42.19541920450757
2020/11/29,Aflac,AFL,0.941259,431,3.41475,699,3.75291,1066,43.319199,41.899184052771524,41.05225872976199
2020/10/25,Aflac,AFL,0.929596,431,3.45618,699,3.68365,1066,35.976410,35.41585597565664,35.3780492357766
2020/9/27,Aflac,AFL,0.917188,431,3.52062,699,3.67803,1066,33.961353,34.55031870432242,34.66929260938268
2022/7/31,Agilent Technologies,A,0.96662,423,3.90798,581,4.27734,759,134.100006,126.46688629732256,125.07702189096264
2022/7/24,Agilent Technologies,A,0.966474,423,3.90682,581,4.27539,759,125.040001,121.22781335592644,120.760573123721
2022/6/19,Agilent Technologies,A,0.964613,423,3.89469,581,4.24708,759,112.510712,118.4827257753133,119.71119303163832
2022/5/22,Agilent Technologies,A,0.96373,423,3.868,581,4.24109,759,124.908752,120.96419115650822,120.89186187025263
2022/4/17,Agilent Technologies,A,0.957704,423,3.88512,581,4.21577,759,126.216446,130.48642590321495,131.33053795959808
2022/3/20,Agilent Technologies,A,0.954744,423,3.83869,581,4.20074,759,138.656326,133.50174873141032,133.20526599218104
2022/2/20,Agilent Technologies,A,0.949514,423,3.78728,581,4.16584,759,131.609894,135.4472966008041,136.5179471099391
2022/1/23,Agilent Technologies,A,0.949623,423,3.7773,581,4.15533,759,137.051697,142.83853721545492,144.58991039738993
2021/12/19,Agilent Technologies,A,0.946336,423,3.78922,581,4.17611,759,150.716843,152.4179119206193,152.80228778751942
2021/11/21,Agilent Technologies,A,0.943106,423,3.78782,581,4.16335,759,163.537018,160.08122635760364,159.43500693025646
2021/10/24,Agilent Technologies,A,0.954573,423,3.81628,581,4.2065,759,157.236420,154.90782029611265,155.2959695771561
2021/9/19,Agilent Technologies,A,0.959634,423,3.84837,581,4.24359,759,172.916916,173.28106106731778,172.8060932140308
2021/8/22,Agilent Technologies,A,0.96561,423,3.84161,581,4.28832,759,167.141098,160.8584626727906,159.19098774571574
2021/7/18,Agilent Technologies,A,0.96964,423,3.83797,581,4.28049,759,148.054016,147.89408448386777,147.43840417604721
2021/6/20,Agilent Technologies,A,0.97592,423,3.84804,581,4.27807,759,143.967850,141.8839608550135,140.62626892461955
2021/5/23,Agilent Technologies,A,0.981864,423,3.87442,581,4.28219,759,131.349213,130.2897110366187,130.45454316462096
2021/4/18,Agilent Technologies,A,0.984205,423,3.91626,581,4.28413,759,133.612823,130.45983783937186,129.34283215445527
2021/3/21,Agilent Technologies,A,0.983398,423,3.91811,581,4.27482,759,121.623207,120.92127648510618,120.85611819042603
2021/2/21,Agilent Technologies,A,0.98947,423,3.95029,581,4.27789,759,125.766853,125.46664681907583,124.90834434743341
2021/1/24,Agilent Technologies,A,0.986634,423,3.96054,581,4.27738,759,125.231552,124.95247275011442,124.07099374386947
2020/12/27,Agilent Technologies,A,0.982965,423,3.90077,581,4.19947,759,116.099571,116.19999632934123,115.80558226227176
2020/11/29,Agilent Technologies,A,0.979244,423,3.81523,581,4.16516,759,112.912796,110.65262325347683,109.89307098735112
2020/10/25,Agilent Technologies,A,0.97464,423,3.77644,581,4.16053,759,105.074516,104.27250911188234,103.71065072881375
2020/9/27,Agilent Technologies,A,0.97003,423,3.61759,581,4.10955,759,96.508018,96.91601188664839,97.10377623997888
2022/7/31,Air Products and Chemicals,APD,0.900233,191,3.5124,291,4.0279,380,248.229996,237.89206008354904,236.84495609206988
2022/7/24,Air Products and Chemicals,APD,0.900545,191,3.51316,291,4.02893,380,234.559998,231.6767377776704,232.42561862211662
2022/6/19,Air Products and Chemicals,APD,0.881763,191,3.47035,291,3.96601,380,234.397720,240.78404999587963,241.60055964652284
2022/5/22,Air Products and Chemicals,APD,0.889999,191,3.46657,291,3.98182,380,236.006912,234.04049808765097,234.55753518390603
2022/4/17,Air Products and Chemicals,APD,0.891514,191,3.51103,291,4.03423,380,245.195282,246.82975349185597,245.69393019262742
2022/3/20,Air Products and Chemicals,APD,0.881508,191,3.44841,291,3.95745,380,228.653763,223.92345352531052,225.45447940074524
